1819 2 1  1819.088  10  
1819 2 2  1819.091   ?  
1819 2 3  1819.094   ?  
1819 2 4  1819.097   ?  
1819 2 5  1819.099   0  
1819 2 6  1819.102   0  
1819 2 7  1819.105   ?  
1819 2 8  1819.107   ?  
1819 2 9  1819.110   ?  
1819 210  1819.113  15  
1819 211  1819.116   ?  
1819 212  1819.118   ?  
1819 213  1819.121  34  
1819 214  1819.124   ?  
1819 215  1819.127  35  
1819 216  1819.129   ?  
1819 217  1819.132  40  
1819 218  1819.135   ?  
1819 219  1819.138   ?  
1819 220  1819.140  29  
1819 221  1819.143   ?  
1819 222  1819.146   ?  
1819 223  1819.149   ?  
1819 224  1819.151  25  
1819 225  1819.154   ?  
1819 226  1819.157  19  
1819 227  1819.159   ?  
1819 228  1819.162   ?  
1819 3 1  1819.165   ?  
1819 3 2  1819.168  13  
1819 3 3  1819.170   ?  
1819 3 4  1819.173   0  
1819 3 5  1819.176  12  
1819 3 6  1819.179   ?  
1819 3 7  1819.181   0  
1819 3 8  1819.184   0  
1819 3 9  1819.187   0  
1819 310  1819.190   0  
1819 311  1819.192   0  
1819 312  1819.195   0  
1819 313  1819.198   0  
1819 314  1819.201   0  
1819 315  1819.203   0  
1819 316  1819.206   0  
1819 317  1819.209   0  
1819 318  1819.212   0  
1819 319  1819.214   0  
1819 320  1819.217   0  
1819 321  1819.220   0  
1819 322  1819.222  18  
1819 323  1819.225  12  
1819 324  1819.228   ?  
1819 325  1819.231   ?  
1819 326  1819.233  10  
1819 327  1819.236   ?  
1819 328  1819.239   ?  
1819 329  1819.242  10  
1819 330  1819.244   ?  
1819 331  1819.247  11  
1819 4 1  1819.250  10  
1819 4 2  1819.253   ?  
1819 4 3  1819.255   ?  
1819 4 4  1819.258   0  
1819 4 5  1819.261   0  
1819 4 6  1819.264   0  
1819 4 7  1819.266   0  
1819 4 8  1819.269   0  
1819 4 9  1819.272   0  
1819 410  1819.274   0  
1819 411  1819.277  10  
1819 412  1819.280  12  
1819 413  1819.283  17  
1819 414  1819.285  19  
1819 415  1819.288  31  
1819 416  1819.291  29  
1819 417  1819.294  45  
1819 418  1819.296  48  
1819 419  1819.299  49  
1819 420  1819.302   ?  
1819 421  1819.305  43  
1819 422  1819.307  47  
1819 423  1819.310   ?  
1819 424  1819.313   ?  
1819 425  1819.316   ?  
1819 426  1819.318   ?  
1819 427  1819.321  14  
1819 428  1819.324  28  
1819 429  1819.327  31  
1819 430  1819.329  32  
1819 5 1  1819.332  32  
1819 5 2  1819.335  18  
1819 5 3  1819.337  10  
1819 5 4  1819.340   0  
1819 5 5  1819.343   0  
1819 5 6  1819.346   0  
1819 5 7  1819.348   0  
1819 5 8  1819.351   0  
1819 5 9  1819.354   0  
1819 510  1819.357   0  
1819 511  1819.359   0  
1819 512  1819.362   0  
1819 513  1819.365   0  
1819 514  1819.368   0  
1819 515  1819.370  17  
1819 516  1819.373  25  
1819 517  1819.376  26  
1819 518  1819.379  20  
1819 519  1819.381  13  
1819 520  1819.384  32  
1819 521  1819.387  41  
1819 522  1819.389  33  
1819 523  1819.392  40  
1819 524  1819.395  31  
1819 525  1819.398  30  
1819 526  1819.400  43  
1819 527  1819.403  45  
1819 528  1819.406  50  
1819 529  1819.409  40  
1819 530  1819.411  35  
1819 531  1819.414  26  
1819 6 1  1819.417  18  
1819 6 2  1819.420  13  
1819 6 3  1819.422  17  
1819 6 4  1819.425  23  
1819 6 5  1819.428  35  
1819 6 6  1819.431  35  
1819 6 7  1819.433   ?  
1819 6 8  1819.436  30  
1819 6 9  1819.439  13  
1819 610  1819.442  17  
1819 611  1819.444  45  
1819 612  1819.447   ?  
1819 613  1819.450  28  
1819 614  1819.452  29  
1819 615  1819.455  44  
1819 616  1819.458  40  
1819 617  1819.461   ?  
1819 618  1819.463  56  
1819 619  1819.466   ?  
1819 620  1819.469  71  
1819 621  1819.472  63  
1819 622  1819.474  70  
1819 623  1819.477   ?  
1819 624  1819.480   ?  
1819 625  1819.483  46  
1819 626  1819.485  22  
1819 627  1819.488  22  
1819 628  1819.491  19  
1819 629  1819.494  48  
1819 630  1819.496   ?  
1819 7 1  1819.499   ?  
1819 7 2  1819.502   ?  
1819 7 3  1819.504  57  
1819 7 4  1819.507  34  
1819 7 5  1819.510  43  
1819 7 6  1819.513   ?  
1819 7 7  1819.515   ?  
1819 7 8  1819.518  29  
1819 7 9  1819.521   ?  
1819 710  1819.524  25  
1819 711  1819.526  27  
1819 712  1819.529   ?  
1819 713  1819.532   ?  
1819 714  1819.535   ?  
1819 715  1819.537   ?  
1819 716  1819.540  30  
1819 717  1819.543   ?  
1819 718  1819.546  97  
1819 719  1819.548   ?  
1819 720  1819.551   ?  
1819 721  1819.554   ?  
1819 722  1819.557   ?  
1819 723  1819.559   ?  
1819 724  1819.562   ?  
1819 725  1819.565  16  
1819 726  1819.567  31  
1819 727  1819.570  18  
1819 728  1819.573  17  
1819 729  1819.576  16  
1819 730  1819.578  10  
1819 731  1819.581  21  
1819 8 1  1819.584  39  
1819 8 2  1819.587  60  
1819 8 3  1819.589  56  
1819 8 4  1819.592   ?  
1819 8 5  1819.595   ?  
1819 8 6  1819.598   ?  
1819 8 7  1819.600   ?  
1819 8 8  1819.603  66  
1819 8 9  1819.606  48  
1819 810  1819.609   ?  
1819 811  1819.611  32  
1819 812  1819.614  32  
1819 813  1819.617  33  
1819 814  1819.619   ?  
1819 815  1819.622  19  
1819 816  1819.625  23  
1819 817  1819.628  31  
1819 818  1819.630   ?  
1819 819  1819.633  15  
1819 820  1819.636   0  
1819 821  1819.639   0  
1819 822  1819.641   0  
1819 823  1819.644   0  
1819 824  1819.647   0  
1819 825  1819.650  15  
1819 826  1819.652  10  
1819 827  1819.655  15  
1819 828  1819.658  15  
1819 829  1819.661  22  
1819 830  1819.663  47  
1819 831  1819.666  48  
1819 9 1  1819.669  59  
1819 9 2  1819.672  34  
1819 9 3  1819.674  36  
1819 9 4  1819.677  33  
1819 9 5  1819.680  28  
1819 9 6  1819.682  22  
1819 9 7  1819.685   ?  
1819 9 8  1819.688  31  
1819 9 9  1819.691  16  
1819 910  1819.693  16  
1819 911  1819.696   0  
1819 912  1819.699   0  
1819 913  1819.702   0  
1819 914  1819.704  20  
1819 915  1819.707   ?  
1819 916  1819.710  16  
1819 917  1819.713   0  
1819 918  1819.715   0  
1819 919  1819.718   0  
1819 920  1819.721   0  
1819 921  1819.724   0  
1819 922  1819.726   0  
1819 923  1819.729   0  
1819 924  1819.732  15  
1819 925  1819.734  15  
1819 926  1819.737  15  
1819 927  1819.740  15  
1819 928  1819.743  15  
1819 929  1819.745   ?  
1819 930  1819.748  15  
181910 1  1819.751  16  
181910 2  1819.754  20  
181910 3  1819.756  24  
181910 4  1819.759  36  
181910 5  1819.762  36  
181910 6  1819.765   ?  
181910 7  1819.767  36  
181910 8  1819.770  19  
181910 9  1819.773  33  
18191010  1819.776  36  
18191011  1819.778  33  
18191012  1819.781  35  
18191013  1819.784  32  
18191014  1819.786  16  
18191015  1819.789  16  
18191016  1819.792   0  
18191017  1819.795  48  
18191018  1819.797  47  
18191019  1819.800  36  
18191020  1819.803   ?  
18191021  1819.806   ?  
18191022  1819.808   ?  
18191023  1819.811  36  
18191024  1819.814   ?  
18191025  1819.817   ?  
18191026  1819.819   ?  
18191027  1819.822  15  
18191028  1819.825  36  
